"REF_DATE","GEO","DGUID","Distance-capacity public transit service area","Location","Gender","Demographic and socio-economic","Sustainable Development Goals (SDGs) 11.2.1 indicator","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Saguenay, Census metropolitan area (CMA)","2021S0503408","800 metres from high-capacity public transit stops only","Total, location","Total, gender","Not in the labour force","Count of population within service area","Persons","249","units","0","v1635380582","372.5.1.1.60.1","","..","","","0"
"2024","Saguenay, Census metropolitan area (CMA)","2021S0503408","800 metres from high-capacity public transit stops only","Total, location","Total, gender","Not in the labour force","Count of population within service area","Persons","249","units","0","v1635380582","372.5.1.1.60.1","","..","","","0"
"2023","Saguenay, Census metropolitan area (CMA)","2021S0503408","800 metres from high-capacity public transit stops only","Total, location","Total, gender","Not in the labour force","Proportion of population within service area","Percent","239","units","0","v1639404476","372.5.1.1.60.2","","..","","","1"
"2024","Saguenay, Census metropolitan area (CMA)","2021S0503408","800 metres from high-capacity public transit stops only","Total, location","Total, gender","Not in the labour force","Proportion of population within service area","Percent","239","units","0","v1639404476","372.5.1.1.60.2","","..","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","Total - Age groups of the population - 100% data","Count of population within service area","Persons","249","units","0","v1631837674","394.1.1.1.1.1","151960","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","Total - Age groups of the population - 100% data","Count of population within service area","Persons","249","units","0","v1631837674","394.1.1.1.1.1","134570","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","Total - Age groups of the population - 100% data","Proportion of population within service area","Percent","239","units","0","v1635861568","394.1.1.1.1.2","66.8","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","Total - Age groups of the population - 100% data","Proportion of population within service area","Percent","239","units","0","v1635861568","394.1.1.1.1.2","59.2","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","0 to 14 years","Count of population within service area","Persons","249","units","0","v1631918692","394.1.1.1.2.1","21630","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","0 to 14 years","Count of population within service area","Persons","249","units","0","v1631918692","394.1.1.1.2.1","19340","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","0 to 14 years","Proportion of population within service area","Percent","239","units","0","v1635942586","394.1.1.1.2.2","60.1","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","0 to 14 years","Proportion of population within service area","Percent","239","units","0","v1635942586","394.1.1.1.2.2","53.7","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","15 to 64 years","Count of population within service area","Persons","249","units","0","v1631999710","394.1.1.1.3.1","93300","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","15 to 64 years","Count of population within service area","Persons","249","units","0","v1631999710","394.1.1.1.3.1","84025","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","15 to 64 years","Proportion of population within service area","Percent","239","units","0","v1636023604","394.1.1.1.3.2","66.5","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","15 to 64 years","Proportion of population within service area","Percent","239","units","0","v1636023604","394.1.1.1.3.2","59.9","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","65 years and over","Count of population within service area","Persons","249","units","0","v1632242764","394.1.1.1.6.1","37030","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","65 years and over","Count of population within service area","Persons","249","units","0","v1632242764","394.1.1.1.6.1","31205","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","65 years and over","Proportion of population within service area","Percent","239","units","0","v1636266658","394.1.1.1.6.2","72.6","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","65 years and over","Proportion of population within service area","Percent","239","units","0","v1636266658","394.1.1.1.6.2","61.2","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Count of population within service area","Persons","249","units","0","v1635051388","394.1.1.1.56.1","123415","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Count of population within service area","Persons","249","units","0","v1635051388","394.1.1.1.56.1","109525","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Proportion of population within service area","Percent","239","units","0","v1639075282","394.1.1.1.56.2","67.0","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Proportion of population within service area","Percent","239","units","0","v1639075282","394.1.1.1.56.2","59.5","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","In the labour force","Count of population within service area","Persons","249","units","0","v1635132406","394.1.1.1.57.1","75055","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","In the labour force","Count of population within service area","Persons","249","units","0","v1635132406","394.1.1.1.57.1","67375","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","In the labour force","Proportion of population within service area","Percent","239","units","0","v1639156300","394.1.1.1.57.2","64.6","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","In the labour force","Proportion of population within service area","Percent","239","units","0","v1639156300","394.1.1.1.57.2","58.0","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","Employed","Count of population within service area","Persons","249","units","0","v1635213424","394.1.1.1.58.1","69870","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","Employed","Count of population within service area","Persons","249","units","0","v1635213424","394.1.1.1.58.1","62855","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","Employed","Proportion of population within service area","Percent","239","units","0","v1639237318","394.1.1.1.58.2","64.0","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","Employed","Proportion of population within service area","Percent","239","units","0","v1639237318","394.1.1.1.58.2","57.6","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","Unemployed","Count of population within service area","Persons","249","units","0","v1635294442","394.1.1.1.59.1","5180","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","Unemployed","Count of population within service area","Persons","249","units","0","v1635294442","394.1.1.1.59.1","4525","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","Unemployed","Proportion of population within service area","Percent","239","units","0","v1639318336","394.1.1.1.59.2","73.8","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","Unemployed","Proportion of population within service area","Percent","239","units","0","v1639318336","394.1.1.1.59.2","64.5","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","Not in the labour force","Count of population within service area","Persons","249","units","0","v1635375460","394.1.1.1.60.1","48365","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","Not in the labour force","Count of population within service area","Persons","249","units","0","v1635375460","394.1.1.1.60.1","42150","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","Not in the labour force","Proportion of population within service area","Percent","239","units","0","v1639399354","394.1.1.1.60.2","71.1","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from all public transit stops","Total, location","Total, gender","Not in the labour force","Proportion of population within service area","Percent","239","units","0","v1639399354","394.1.1.1.60.2","62.0","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Age groups of the population - 100% data","Count of population within service area","Persons","249","units","0","v1631838960","394.2.1.1.1.1","151955","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Age groups of the population - 100% data","Count of population within service area","Persons","249","units","0","v1631838960","394.2.1.1.1.1","134570","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Age groups of the population - 100% data","Proportion of population within service area","Percent","239","units","0","v1635862854","394.2.1.1.1.2","66.8","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Age groups of the population - 100% data","Proportion of population within service area","Percent","239","units","0","v1635862854","394.2.1.1.1.2","59.2","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","0 to 14 years","Count of population within service area","Persons","249","units","0","v1631919978","394.2.1.1.2.1","21630","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","0 to 14 years","Count of population within service area","Persons","249","units","0","v1631919978","394.2.1.1.2.1","19340","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","0 to 14 years","Proportion of population within service area","Percent","239","units","0","v1635943872","394.2.1.1.2.2","60.1","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","0 to 14 years","Proportion of population within service area","Percent","239","units","0","v1635943872","394.2.1.1.2.2","53.7","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","15 to 64 years","Count of population within service area","Persons","249","units","0","v1632000996","394.2.1.1.3.1","93295","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","15 to 64 years","Count of population within service area","Persons","249","units","0","v1632000996","394.2.1.1.3.1","84025","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","15 to 64 years","Proportion of population within service area","Percent","239","units","0","v1636024890","394.2.1.1.3.2","66.5","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","15 to 64 years","Proportion of population within service area","Percent","239","units","0","v1636024890","394.2.1.1.3.2","59.9","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","65 years and over","Count of population within service area","Persons","249","units","0","v1632244050","394.2.1.1.6.1","37035","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","65 years and over","Count of population within service area","Persons","249","units","0","v1632244050","394.2.1.1.6.1","31205","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","65 years and over","Proportion of population within service area","Percent","239","units","0","v1636267944","394.2.1.1.6.2","72.6","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","65 years and over","Proportion of population within service area","Percent","239","units","0","v1636267944","394.2.1.1.6.2","61.2","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Count of population within service area","Persons","249","units","0","v1635052674","394.2.1.1.56.1","123420","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Count of population within service area","Persons","249","units","0","v1635052674","394.2.1.1.56.1","109525","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Proportion of population within service area","Percent","239","units","0","v1639076568","394.2.1.1.56.2","67.0","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Proportion of population within service area","Percent","239","units","0","v1639076568","394.2.1.1.56.2","59.5","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","In the labour force","Count of population within service area","Persons","249","units","0","v1635133692","394.2.1.1.57.1","75050","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","In the labour force","Count of population within service area","Persons","249","units","0","v1635133692","394.2.1.1.57.1","67375","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","In the labour force","Proportion of population within service area","Percent","239","units","0","v1639157586","394.2.1.1.57.2","64.6","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","In the labour force","Proportion of population within service area","Percent","239","units","0","v1639157586","394.2.1.1.57.2","58.0","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Employed","Count of population within service area","Persons","249","units","0","v1635214710","394.2.1.1.58.1","69875","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Employed","Count of population within service area","Persons","249","units","0","v1635214710","394.2.1.1.58.1","62855","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Employed","Proportion of population within service area","Percent","239","units","0","v1639238604","394.2.1.1.58.2","64.0","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Employed","Proportion of population within service area","Percent","239","units","0","v1639238604","394.2.1.1.58.2","57.6","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Unemployed","Count of population within service area","Persons","249","units","0","v1635295728","394.2.1.1.59.1","5180","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Unemployed","Count of population within service area","Persons","249","units","0","v1635295728","394.2.1.1.59.1","4525","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Unemployed","Proportion of population within service area","Percent","239","units","0","v1639319622","394.2.1.1.59.2","73.8","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Unemployed","Proportion of population within service area","Percent","239","units","0","v1639319622","394.2.1.1.59.2","64.5","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Not in the labour force","Count of population within service area","Persons","249","units","0","v1635376746","394.2.1.1.60.1","48365","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Not in the labour force","Count of population within service area","Persons","249","units","0","v1635376746","394.2.1.1.60.1","42150","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Not in the labour force","Proportion of population within service area","Percent","239","units","0","v1639400640","394.2.1.1.60.2","71.1","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","400 metres from low-capacity public transit stops only","Total, location","Total, gender","Not in the labour force","Proportion of population within service area","Percent","239","units","0","v1639400640","394.2.1.1.60.2","62.0","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","Total - Age groups of the population - 100% data","Count of population within service area","Persons","249","units","0","v1631840246","394.3.1.1.1.1","165580","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","Total - Age groups of the population - 100% data","Count of population within service area","Persons","249","units","0","v1631840246","394.3.1.1.1.1","144745","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","Total - Age groups of the population - 100% data","Proportion of population within service area","Percent","239","units","0","v1635864140","394.3.1.1.1.2","72.8","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","Total - Age groups of the population - 100% data","Proportion of population within service area","Percent","239","units","0","v1635864140","394.3.1.1.1.2","63.7","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","0 to 14 years","Count of population within service area","Persons","249","units","0","v1631921264","394.3.1.1.2.1","24230","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","0 to 14 years","Count of population within service area","Persons","249","units","0","v1631921264","394.3.1.1.2.1","21455","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","0 to 14 years","Proportion of population within service area","Percent","239","units","0","v1635945158","394.3.1.1.2.2","67.3","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","0 to 14 years","Proportion of population within service area","Percent","239","units","0","v1635945158","394.3.1.1.2.2","59.6","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","15 to 64 years","Count of population within service area","Persons","249","units","0","v1632002282","394.3.1.1.3.1","101730","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","15 to 64 years","Count of population within service area","Persons","249","units","0","v1632002282","394.3.1.1.3.1","90545","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","15 to 64 years","Proportion of population within service area","Percent","239","units","0","v1636026176","394.3.1.1.3.2","72.5","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","15 to 64 years","Proportion of population within service area","Percent","239","units","0","v1636026176","394.3.1.1.3.2","64.5","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","65 years and over","Count of population within service area","Persons","249","units","0","v1632245336","394.3.1.1.6.1","39620","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","65 years and over","Count of population within service area","Persons","249","units","0","v1632245336","394.3.1.1.6.1","32750","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","65 years and over","Proportion of population within service area","Percent","239","units","0","v1636269230","394.3.1.1.6.2","77.6","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","65 years and over","Proportion of population within service area","Percent","239","units","0","v1636269230","394.3.1.1.6.2","64.2","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Count of population within service area","Persons","249","units","0","v1635053960","394.3.1.1.56.1","134685","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Count of population within service area","Persons","249","units","0","v1635053960","394.3.1.1.56.1","117825","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Proportion of population within service area","Percent","239","units","0","v1639077854","394.3.1.1.56.2","73.1","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Proportion of population within service area","Percent","239","units","0","v1639077854","394.3.1.1.56.2","64.0","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","In the labour force","Count of population within service area","Persons","249","units","0","v1635134978","394.3.1.1.57.1","82540","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","In the labour force","Count of population within service area","Persons","249","units","0","v1635134978","394.3.1.1.57.1","73210","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","In the labour force","Proportion of population within service area","Percent","239","units","0","v1639158872","394.3.1.1.57.2","71.1","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","In the labour force","Proportion of population within service area","Percent","239","units","0","v1639158872","394.3.1.1.57.2","63.0","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","Employed","Count of population within service area","Persons","249","units","0","v1635215996","394.3.1.1.58.1","76980","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","Employed","Count of population within service area","Persons","249","units","0","v1635215996","394.3.1.1.58.1","68430","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","Employed","Proportion of population within service area","Percent","239","units","0","v1639239890","394.3.1.1.58.2","70.5","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","Employed","Proportion of population within service area","Percent","239","units","0","v1639239890","394.3.1.1.58.2","62.7","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","Unemployed","Count of population within service area","Persons","249","units","0","v1635297014","394.3.1.1.59.1","5560","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","Unemployed","Count of population within service area","Persons","249","units","0","v1635297014","394.3.1.1.59.1","4780","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","Unemployed","Proportion of population within service area","Percent","239","units","0","v1639320908","394.3.1.1.59.2","79.3","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","Unemployed","Proportion of population within service area","Percent","239","units","0","v1639320908","394.3.1.1.59.2","68.1","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","Not in the labour force","Count of population within service area","Persons","249","units","0","v1635378032","394.3.1.1.60.1","52145","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","Not in the labour force","Count of population within service area","Persons","249","units","0","v1635378032","394.3.1.1.60.1","44610","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","Not in the labour force","Proportion of population within service area","Percent","239","units","0","v1639401926","394.3.1.1.60.2","76.7","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from all public transit stops","Total, location","Total, gender","Not in the labour force","Proportion of population within service area","Percent","239","units","0","v1639401926","394.3.1.1.60.2","65.6","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Age groups of the population - 100% data","Count of population within service area","Persons","249","units","0","v1631841532","394.4.1.1.1.1","165580","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Age groups of the population - 100% data","Count of population within service area","Persons","249","units","0","v1631841532","394.4.1.1.1.1","144745","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Age groups of the population - 100% data","Proportion of population within service area","Percent","239","units","0","v1635865426","394.4.1.1.1.2","72.8","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from low-capacity public transit stops only","Total, location","Total, gender","Total - Age groups of the population - 100% data","Proportion of population within service area","Percent","239","units","0","v1635865426","394.4.1.1.1.2","63.7","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from low-capacity public transit stops only","Total, location","Total, gender","0 to 14 years","Count of population within service area","Persons","249","units","0","v1631922550","394.4.1.1.2.1","24230","","","","0"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from low-capacity public transit stops only","Total, location","Total, gender","0 to 14 years","Count of population within service area","Persons","249","units","0","v1631922550","394.4.1.1.2.1","21455","","","","0"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from low-capacity public transit stops only","Total, location","Total, gender","0 to 14 years","Proportion of population within service area","Percent","239","units","0","v1635946444","394.4.1.1.2.2","67.3","","","","1"
"2024","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from low-capacity public transit stops only","Total, location","Total, gender","0 to 14 years","Proportion of population within service area","Percent","239","units","0","v1635946444","394.4.1.1.2.2","59.6","","","","1"
"2023","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","500 metres from low-capacity public transit stops only","Total, location","Total, gender","15 to 64 years","Count of population within service area","Persons","249","units","0","v1632003568","394.4.1.1.3.1","101730","","","","0"
